Currency,Buying,Selling,Mean,Transaction Date,source_url,scraped_at
ZMW,124.3705,125.6142,124.9923,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
ZWD,6.4895,6.5544,6.5219,2026-01-28,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-28 03:03:28.496842
AED,673.1,679.83,676.46,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
ATS,158.48,160.07,159.27,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
AUD,1727.28,1744.55,1735.91,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
BIF,0.83,0.84,0.84,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
BWP,199.78,201.77,200.78,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
CAD,1819.88,1838.08,1828.98,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
CHF,3207.27,3239.34,3223.31,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
CNY,355.93,359.49,357.71,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
CUC,103.02,104.05,103.54,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
DKK,394.8,398.75,396.78,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
DZD,19.1,19.29,19.2,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
EUR,2948.19,2977.67,2962.93,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
GBP,3404.36,3438.41,3421.39,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
HKD,316.94,320.11,318.53,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
INR,26.83,27.1,26.96,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
IQD,1.89,1.91,1.9,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
IRR,0.0,0.0,0.0,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
JPY,16.08,16.24,16.16,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
KES,19.15,19.34,19.25,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
KRW,1.72,1.74,1.73,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
KWD,8111.83,8192.95,8152.39,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
MWK,1.41,1.43,1.42,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
MYR,630.25,636.56,633.4,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
MZM,38.66,39.04,38.85,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
NAD,155.1,156.65,155.87,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
NGN,1.77,1.79,1.78,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
NLG,989.59,999.48,994.54,2026-01-29,https://www.bot.go.tz/ExchangeRate/excRates,2026-01-29 03:27:07.719957
